Wormbase_Id,gene_name,ID,sequence_1,control_OP50_1,control_OP50_2,sams_1_OP50_1,sams_1_OP50_2,padj,log2FoldChange,pvalue,foldChange,log10padj
WBGene00000190,arf-1.1,F45E4.1,F45E4.1,16.89113334,8.321399101,5631.654114,5304.185301,1.95E-94,8.112548263,2.42E-98,277,93.7102688
WBGene00012757,,Y41C4A.11,Y41C4A.11,117.9634229,156.8051344,53668.60091,27864.08177,9.87E-96,7.675470629,6.12E-100,204,95.00576259
WBGene00021581,clec-70,Y46C8AL.3,Y46C8AL.3,22.67392515,6.417254146,2031.918932,4216.294729,7.67E-47,6.91165245,2.85E-50,120,46.1154198
WBGene00022570,sdz-35,ZC239.12,ZC239.12,5.249399796,0.716949884,1311.238071,368.2345424,5.78E-25,6.570384583,9.67E-28,95,24.23810239
WBGene00018997,,F57B9.3,F57B9.3,0.104296148,0,252.5621254,196.0851145,1.34E-16,6.28714102,7.21E-19,78,15.87369754
WBGene00007872,,C32H11.9,C32H11.9,0.10410391,0,165.5864447,277.8079959,4.73E-16,6.221826933,2.70E-18,75,15.3251802
WBGene00044642,clec-69,F56D6.15,Pseudogene:F56D6.15,2.35399975,2.674267864,365.3285991,540.5415178,7.32E-25,6.206191099,1.27E-27,74,24.13535334
WBGene00003425,msp-10,K07F5.2,K07F5.2,8.674869538,3.297760821,302.3672852,1651.498514,2.05E-21,6.079185268,5.45E-24,68,20.68921904
WBGene00044644,,B0205.13,B0205.13,10.37578593,27.33662764,1498.481734,1657.306953,3.17E-43,5.827980637,1.57E-46,57,42.49962363
WBGene00045416,,Y37H2A.14,Y37H2A.14,65.71323462,99.67443828,7012.553893,4754.443618,1.93E-58,5.739119944,3.59E-62,53,57.71409468
WBGene00017705,,F22E5.6,F22E5.6,8.326691096,2.615359538,995.1487984,279.7451997,1.48E-19,5.667448508,5.40E-22,51,18.83057655
WBGene00020840,spch-3,T27A3.4,T27A3.4,24.45890116,23.71662928,608.6626191,4014.832576,7.26E-22,5.625150985,1.80E-24,49,21.13877892
WBGene00017851,,F27C1.1,F27C1.1,7.300902513,6.412971071,232.5034261,1327.961806,1.55E-18,5.593559693,6.25E-21,48,17.80914857
WBGene00006665,twk-10,K04A8.4,K04A8.4,0.107640102,3.570463138,180.6240185,377.6411708,7.47E-16,5.545000409,4.59E-18,47,15.12643707
WBGene00008698,,F11D11.3,F11D11.3,0.102867541,1.681886242,125.7891618,283.9148582,1.43E-13,5.484618079,1.31E-15,45,12.84588543
WBGene00021398,,Y38C1AA.7,Y38C1AA.7,7.300908043,7.36298025,209.3586313,1339.156248,2.33E-17,5.476509389,1.15E-19,45,16.63226048
WBGene00001399,fat-7,F10D2.9,F10D2.9,732.8712912,327.1594094,36587.91939,29518.78299,6.65E-43,5.469888163,3.71E-46,44,42.17728607
WBGene00009681,gipc-2,F44D12.4,F44D12.4,11.40208867,14.01842068,351.2586449,1902.493156,6.66E-20,5.45663562,2.23E-22,44,19.17650698
WBGene00019410,,K05F1.9,K05F1.9,3.195906772,3.565868121,119.7876145,774.777409,1.14E-14,5.428691479,8.50E-17,43,13.94222208
WBGene00020989,,W03D8.8,W03D8.8,20.62715161,30.19088779,957.0845499,2302.023572,1.99E-31,5.394621366,1.60E-34,42,30.70106733
WBGene00007159,,B0379.7,B0379.7.1,2.575059792,0,85.55887363,378.1672187,2.53E-12,5.384506715,2.93E-14,42,11.59724863
WBGene00012637,,Y38H8A.3,Y38H8A.3,0.104850699,0.734246496,45.9105133,417.8566698,5.20E-11,5.371222152,7.41E-13,41,10.28390221
WBGene00011176,,R09E10.6,R09E10.6,17.55280469,16.87249716,440.8272711,2230.592423,1.28E-20,5.361679526,3.74E-23,41,19.89172887
WBGene00010091,ssp-35,F55C5.1,F55C5.1,2.166809499,2.621057036,118.7699893,507.9262047,4.02E-14,5.349707164,3.39E-16,41,13.39553181
WBGene00007601,,C15C6.2,C15C6.2a,12.42752902,13.06736426,277.7960403,1887.238224,1.50E-17,5.320575503,7.16E-20,40,16.82373904
WBGene00016351,,C33F10.1,C33F10.1,5.977685415,9.09177241,181.4689682,1066.450873,6.97E-16,5.286239982,4.23E-18,39,15.15679946
WBGene00007301,,C04F12.7,C04F12.7,14.91925255,11.37458751,309.0698566,1666.144914,3.00E-18,5.262264527,1.27E-20,38,17.52248536
WBGene00044177,,C30G7.3,C30G7.3,2.168007653,4.515911914,115.7374682,625.0583993,1.37E-13,5.226814254,1.24E-15,37,12.86283553
WBGene00013713,,Y106G6G.4,Y106G6G.4,5.249188742,8.312588441,183.187426,976.5074415,8.71E-16,5.222162899,5.56E-18,37,15.05999203
WBGene00006539,tbb-6,T04H1.9,T04H1.9,55.46725911,107.2835618,2395.248171,6532.913464,3.75E-30,5.212147964,3.61E-33,37,29.42557649
WBGene00015688,,C10G11.8,C10G11.8,9.352269956,7.362713409,209.3545468,1129.316675,2.47E-16,5.201922572,1.36E-18,37,15.60781654
WBGene00006057,sss-2,F47B8.11,F47B8.11,6.275208802,12.11451566,210.3637776,1269.115975,7.51E-16,5.188093197,4.66E-18,36,15.12421734
WBGene00018528,,F47B3.4,F47B3.4,0.097482962,0,39.5038128,269.2645122,1.39E-09,5.177177386,2.51E-11,36,8.857769115
WBGene00235332,,K04A8.20,K04A8.20,3.189926801,0.737553595,190.1600634,211.7134464,5.42E-14,5.167861222,4.67E-16,36,13.26625643
WBGene00009457,,F36A2.10,F36A2.10.1,4.22148001,2.619468289,109.7196678,606.7097068,2.66E-13,5.166689833,2.56E-15,36,12.57473043
WBGene00017678,asp-12,F21F8.4,F21F8.4.2,170.2320311,211.9896086,5210.171391,14185.82021,1.27E-34,5.161863282,9.43E-38,36,33.89682007
WBGene00006056,sss-1,F32B6.5,F32B6.5,17.28714974,16.03391249,369.723249,1791.394654,6.22E-19,5.158547098,2.43E-21,36,18.20605952
WBGene00014158,,ZK938.1,ZK938.1,12.42846881,9.263343428,268.9401178,1254.905423,1.78E-17,5.144958351,8.61E-20,35,16.74950093
WBGene00003469,msp-142,K05F1.2,K05F1.2,5.987166236,5.293493563,151.4994102,656.74818,1.19E-14,5.114838824,8.93E-17,35,13.92423555
WBGene00194703,,F26B1.8,F26B1.8,11.95627399,18.53376891,340.4145944,1544.540037,2.43E-18,5.110950745,1.01E-20,35,17.61449728
WBGene00016357,,C33F10.11,C33F10.11b.2,2.463432784,1.84683376,70.17082,463.7737723,1.95E-11,5.105327259,2.59E-13,34,10.70968636
WBGene00007307,spch-1,C04G2.8,C04G2.8.1,7.300743538,16.86935781,201.3118118,1614.198767,2.17E-14,5.059337219,1.71E-16,33,13.66360578
WBGene00013771,,Y113G7C.1,Y113G7C.1,3.194567036,4.51657281,112.7366592,571.0665313,5.84E-13,5.036569836,5.94E-15,33,12.23340468
WBGene00045038,,F13G11.3,F13G11.3,73.9171559,39.71178104,1569.990721,4031.867887,3.45E-27,5.030619637,4.91E-30,33,26.46243655
WBGene00006449,alg-4,ZK757.3,ZK757.3a.1,3.193739288,3.569391601,111.7260782,491.6366737,7.72E-13,5.022983355,7.99E-15,33,12.11249678
WBGene00022079,,Y69A2AR.8,Pseudogene:Y69A2AR.8,0.095369147,0,34.50212016,244.7286441,7.37E-09,5.013959591,1.49E-10,32,8.132606631
WBGene00000372,cyp-13A7,T10B9.10,T10B9.10,1.132925639,2.630243128,250.6662943,123.8126133,4.36E-12,4.98931807,5.29E-14,32,11.36089876
WBGene00017542,,F17E9.5,F17E9.5,16.52899971,14.01721465,273.767401,1619.324874,4.55E-16,4.980663171,2.57E-18,32,15.34161266
WBGene00003448,msp-55,C09B9.6,C09B9.6,10.74700807,10.46028139,217.9975471,1085.594441,1.12E-15,4.974360887,7.27E-18,31,14.95164145
WBGene00009682,msd-2,F44D12.5,F44D12.5,5.187098012,7.809415048,127.7267178,764.6743611,4.00E-13,4.969105722,3.94E-15,31,12.39769671
WBGene00007987,,C36H8.1,C36H8.1,6.275132987,9.262701902,138.9121431,1007.039041,2.17E-13,4.965636253,2.06E-15,31,12.66331338
WBGene00255375,,F08B4.8,F08B4.8,5.247280425,2.620735519,117.7648927,522.1861295,9.12E-13,4.961217502,9.66E-15,31,12.0401342
WBGene00020187,gsp-4,T03F1.5,T03F1.5.1,7.239362395,9.908819242,166.1792072,888.1562276,2.81E-14,4.955118566,2.32E-16,31,13.55100889
WBGene00009948,,F52H3.6,F52H3.6,8.326015437,1.671280122,148.7502287,613.6120259,4.67E-13,4.945155728,4.66E-15,31,12.33106859
WBGene00021997,,Y59E9AR.1,Y59E9AR.1,23.78284381,58.34803732,761.2045252,3471.447449,1.66E-18,4.924708997,6.77E-21,30,17.78101575
WBGene00022754,nspd-1,ZK484.8,ZK484.8,8.490810942,10.21297156,189.225199,977.5226909,9.03E-15,4.924317189,6.49E-17,30,14.04446127
WBGene00011748,,T13F2.9,Pseudogene:T13F2.9,11.66876727,26.26740252,309.6363239,1861.664488,1.84E-15,4.919536874,1.21E-17,30,14.73506442
WBGene00010822,,M01G12.9,M01G12.9,89.2868153,98.71483403,3216.428313,3920.977857,1.37E-53,4.905376947,4.24E-57,30,52.86392932
WBGene00012207,,W02B12.12,W02B12.12b,4.221073354,3.568318488,89.59456805,573.0804405,9.98E-12,4.905009102,1.27E-13,30,11.00093378
WBGene00003450,msp-57,R13H9.2,R13H9.2,13.35025299,27.73232658,374.5337776,1800.566965,1.06E-16,4.904548262,5.60E-19,30,15.97383183
WBGene00010470,cdr-4,K01D12.11,K01D12.11,210.1953895,309.0732737,10355.86229,9071.906867,7.34E-55,4.901862874,1.82E-58,30,54.13428865
WBGene00017112,,E03H12.5,E03H12.5,9.895632641,16.00303449,220.0854897,1307.415516,9.82E-15,4.897177562,7.18E-17,30,14.00792181
WBGene00020990,,W03D8.9,W03D8.9.1,9.352343405,10.85918505,205.2740524,940.7417509,4.18E-15,4.879147674,2.85E-17,29,14.37921167
WBGene00015572,,C07G1.6,C07G1.6,0.098793075,2.397101643,55.81119291,271.1718532,1.91E-09,4.875885845,3.58E-11,29,8.719324867
WBGene00009321,,F32B6.4,F32B6.4.2,2.16152635,0.739398756,60.4025762,315.3878766,6.66E-10,4.858393985,1.14E-11,29,9.176413104
WBGene00021381,,Y37E11B.10,Y37E11B.10b.2,5.247628833,4.516573843,120.7856451,560.8915953,1.15E-12,4.855118178,1.24E-14,29,11.94083269
WBGene00008394,,D1086.7,D1086.7,48.30009663,31.14307744,928.9123755,2551.599862,4.49E-24,4.852825204,8.63E-27,29,23.34768641
WBGene00008577,,F08G2.5,F08G2.5,26.77773684,48.26701754,1084.881367,1916.998545,5.21E-30,4.838885157,5.49E-33,29,29.28286271
WBGene00021113,gsp-3,W09C3.6,W09C3.6,7.362485414,12.4178934,207.2340822,878.4670871,7.56E-15,4.829138123,5.34E-17,28,14.12175105
WBGene00020674,,T22B7.7,T22B7.7,66.74508185,56.83615562,1938.297522,2611.849434,8.43E-43,4.81922069,5.22E-46,28,42.07432319
WBGene00020713,,T23B3.5,T23B3.5,14.96103336,13.93032951,229.826017,1279.215344,7.79E-15,4.813360434,5.55E-17,28,14.10831401
WBGene00013473,,Y69E1A.1,Y69E1A.1.1,10.37790778,9.623783328,173.6882785,970.8115532,7.95E-14,4.807172611,7.10E-16,28,13.09936535
WBGene00003432,msp-36,C04G2.4,C04G2.4,15.45353445,6.792690395,209.159301,972.7084842,3.34E-14,4.799991142,2.77E-16,28,13.47681838
WBGene00008590,,F08H9.2,F08H9.2,8.326415635,6.413367784,126.8307793,750.3439057,2.76E-12,4.721646353,3.21E-14,26,11.55969388
WBGene00012087,,T27E7.1,T27E7.1,5.247911008,7.364056963,138.8981207,582.2982922,9.18E-13,4.720451027,9.78E-15,26,12.03732063
WBGene00007584,,C14C10.1,C14C10.1,3.194556788,7.364527402,109.7182138,570.0479199,1.50E-11,4.718992336,1.96E-13,26,10.82279667
WBGene00015689,spch-2,C10G11.9,C10G11.9,7.567512256,8.132193268,92.86238304,871.1019477,3.94E-11,4.706545937,5.44E-13,26,10.40433724
WBGene00044238,,C30H6.12,C30H6.12b,0.099964811,4.528106064,139.8576636,205.5572088,8.28E-11,4.705932509,1.22E-12,26,10.08209802
WBGene00003426,msp-19,F36H12.7,F36H12.7,33.56385908,25.21337275,416.4231138,2179.576266,5.63E-16,4.687755718,3.25E-18,26,15.24947678
WBGene00045457,,F33H12.7,F33H12.7,30.87851923,41.60495953,1657.446503,906.6277213,3.79E-27,4.674267465,5.63E-30,26,26.42161067
WBGene00010092,,F55C5.2,Pseudogene:F55C5.2,5.245219352,0.733112841,77.51239578,405.0245295,6.77E-10,4.673156919,1.16E-11,26,9.169644625
WBGene00015024,,B0205.10,B0205.10.2,6.274749121,9.262918378,119.7878604,774.7844489,8.24E-12,4.667939163,1.04E-13,25,11.08433319
WBGene00016440,gipc-1,C35D10.2,C35D10.2,7.300910604,22.5743747,220.427709,1307.641718,6.75E-13,4.665083881,6.94E-15,25,12.17079528
WBGene00008541,,F07A5.2,F07A5.2,11.40330117,14.96600851,193.2538046,1111.996524,1.88E-13,4.658136808,1.76E-15,25,12.72657328
WBGene00003457,msp-64,ZK1248.6,ZK1248.6,11.10581966,10.15614073,228.1826854,652.4732169,2.03E-15,4.649386276,1.35E-17,25,14.69163682
WBGene00021791,,Y51H7C.13,Y51H7C.13,26.78031126,14.96731445,430.7436519,1264.902514,4.29E-18,4.643757224,1.86E-20,25,17.3672318
WBGene00016512,,C38C3.3,C38C3.3b,1.137517918,6.41748181,87.59662652,451.8732896,3.98E-10,4.643386739,6.58E-12,25,9.400343347
WBGene00006051,ssq-2,T28H11.5,T28H11.5,19.9334511,9.262996745,255.3511091,1093.451318,2.43E-14,4.643210464,1.93E-16,25,13.61383549
WBGene00009028,,F21H7.2,F21H7.2.2,1.136823765,6.418427767,99.64668711,406.0720995,2.03E-10,4.632664164,3.21E-12,25,9.692540385
WBGene00013800,,Y116A8C.23,Y116A8C.23,1.1260486,0,34.23814623,216.5823764,7.75E-08,4.628201425,1.92E-09,25,7.110926336
WBGene00011910,alg-3,T22B3.2,T22B3.2b,3.193273589,6.416857156,110.7175506,452.919891,2.74E-11,4.626368666,3.67E-13,25,10.56245797
WBGene00003464,msp-77,F32B6.6,F32B6.6,6.757319399,23.23994289,213.6840122,1228.561129,1.89E-12,4.619309521,2.15E-14,25,11.72306592
WBGene00008063,,C41G7.6,C41G7.6,2.34916222,5.299587852,80.07673295,385.7126018,4.42E-10,4.615082778,7.35E-12,25,9.354348354
WBGene00012169,,W01B6.2,W01B6.2,2.16003844,0.742462178,43.29851019,293.977501,1.68E-08,4.609142835,3.56E-10,24,7.775586237
WBGene00016058,nspd-3,C24D10.7,C24D10.7.2,3.134411358,14.85189024,149.2298263,756.9537594,3.94E-11,4.605479999,5.45E-13,24,10.40433724
WBGene00011401,,T03F6.6,T03F6.6.2,3.191117881,2.626408834,62.4196242,383.6191722,1.60E-09,4.60050901,2.96E-11,24,8.795544082
WBGene00016447,msd-4,C35D10.11,C35D10.11,8.716377988,14.01498221,217.2316479,769.7662609,2.61E-14,4.596438022,2.12E-16,24,13.58331731
WBGene00016013,,C23G10.6,C23G10.6,8.326175159,7.363449676,136.8896214,658.6851513,3.24E-12,4.593416079,3.88E-14,24,11.48926502
WBGene00015908,,C17F3.3,C17F3.3,0.093525345,0.780021346,27.93183582,227.9701303,1.63E-07,4.571927561,4.38E-09,24,6.788818454
WBGene00016825,,C50E10.1,C50E10.1,6.274760485,9.262905017,90.60725871,808.37416,1.54E-10,4.57091494,2.38E-12,24,9.811178138
WBGene00201467,,F36H12.65,Pseudogene:F36H12.6,8.929870069,1.494932833,103.5559744,484.1058986,5.59E-10,4.56915877,9.35E-12,24,9.252594123
WBGene00010633,nspd-2,K07F5.5,K07F5.5,20.46618765,17.81941581,270.7429477,1305.59091,1.55E-14,4.564168036,1.20E-16,24,13.81034627
WBGene00011336,ubxn-5,T01E8.9,T01E8.9,0.097192239,2.636090751,54.36009259,247.1641886,2.33E-08,4.5607126,5.05E-10,24,7.632821704
WBGene00022751,,ZK484.5,ZK484.5,9.352199421,10.21304004,153.9999151,770.7393363,1.71E-12,4.558844589,1.92E-14,24,11.76789484
WBGene00017320,,F09G8.5,F09G8.5,24.73028081,26.37972243,637.0265339,1050.055046,1.72E-25,4.55691586,2.66E-28,24,24.76520109
WBGene00000191,arl-7,F20D1.5,Pseudogene:F20D1.5,8.982175702,10.21441419,318.1075797,380.1037887,1.01E-17,4.556719313,4.74E-20,24,16.99689111
WBGene00003467,msp-81,K07F5.1,K07F5.1,25.69223475,38.98812071,435.6928089,2044.332422,1.03E-15,4.545074464,6.63E-18,23,14.98761111
WBGene00015259,dod-20,B0554.6,B0554.6,8.324010915,4.519342799,244.5288839,286.0813078,1.31E-14,4.539108513,9.89E-17,23,13.88318957
WBGene00009031,,F21H7.5,F21H7.5,13.06458095,12.12324691,176.2633707,930.4494649,8.39E-13,4.53896366,8.79E-15,23,12.07622614
WBGene00011795,,T16A9.5,T16A9.5.2,9.352342227,16.32538394,168.5366996,986.2743117,2.95E-12,4.523906575,3.50E-14,23,11.52967355
WBGene00007308,,C04G2.9,C04G2.9,25.9910953,16.86888502,323.4139245,1348.275819,5.22E-15,4.512217992,3.63E-17,23,14.28213044
WBGene00016274,,C30G12.2,C30G12.2,335.2076639,271.9522397,5497.998647,13240.47088,1.62E-28,4.503186222,2.01E-31,23,27.79071039
WBGene00012689,,Y39B6A.30,Y39B6A.30,0.089551722,0.758265077,35.6823587,180.4013081,2.23E-07,4.502196396,6.20E-09,23,6.65118811
WBGene00011918,,T22C1.8,T22C1.8,1.12939584,1.690094611,42.289667,257.322732,4.55E-08,4.499924428,1.06E-09,23,7.342400228
WBGene00019026,,F58A6.9,F58A6.9,4.845671131,6.152020541,91.64006844,429.814079,2.89E-10,4.480446517,4.66E-12,22,9.538680738
WBGene00021779,,Y51H7C.1,Y51H7C.1,90.31515147,40.34563984,1354.881863,2885.132183,1.39E-21,4.478371674,3.62E-24,22,20.85732612
WBGene00011521,,T06C12.14,T06C12.14,5.241010719,0.742264759,123.7641385,212.66401,4.75E-10,4.472258251,7.92E-12,22,9.32310107
WBGene00019375,,K04A8.3,K04A8.3,0.088879606,1.702864728,69.94008167,139.3140617,5.73E-08,4.471727047,1.39E-09,22,7.241855666
WBGene00001762,gst-14,F37B1.3,F37B1.3,1.123891359,0.756609677,51.33149981,172.8550566,7.52E-08,4.467357934,1.86E-09,22,7.123672983
WBGene00016577,clec-3,C41H7.7,C41H7.7,18.58036182,21.62262894,568.0760035,662.6956266,4.92E-24,4.45235735,9.76E-27,22,23.30809352
WBGene00008383,,D1081.5,D1081.5,0.094806941,1.693486487,32.22822365,237.9578824,2.21E-07,4.448916103,6.12E-09,22,6.655489904
WBGene00011214,,R10E9.2,R10E9.2,8.326263309,9.263219906,115.7608655,703.4840381,6.18E-11,4.444486121,8.92E-13,22,10.20931028
WBGene00020364,,T08E11.8,T08E11.8,2.153785598,0.754927391,77.47823689,155.6069758,1.96E-08,4.438327737,4.21E-10,22,7.707248351
WBGene00020084,,R105.1,R105.1,2.159848983,2.633284069,62.41031579,268.5600118,1.06E-08,4.433295491,2.20E-10,22,7.97484579
WBGene00015706,,C12D5.3,C12D5.3,19.60537099,14.96623497,209.3558683,1171.08989,1.29E-12,4.424920435,1.42E-14,21,11.88872694
WBGene00009548,,F38H4.4,F38H4.4,1.123439285,0,29.20602537,191.1241792,4.65E-07,4.424266045,1.41E-08,21,6.332406074
WBGene00021996,,Y59E9AL.6,Y59E9AL.6,10.19317005,12.1138851,144.1992061,768.3303612,1.41E-11,4.418305919,1.82E-13,21,10.84935341
WBGene00019430,,K06A5.2,K06A5.2,15.50478103,14.01507953,174.1327061,1030.497844,5.10E-12,4.411709642,6.26E-14,21,11.29237375
WBGene00020841,,T27A3.5,T27A3.5,2.160495718,2.632098927,51.34690711,295.0127137,2.63E-08,4.40481515,5.80E-10,21,7.579907954
WBGene00009344,,F32H2.7,F32H2.7,7.300105951,8.313753734,95.63439171,640.3155686,3.87E-10,4.389454856,6.38E-12,21,9.412258284
WBGene00007613,,C15H11.1,C15H11.1,1.126357043,0.751906128,30.21512958,223.7015847,3.09E-07,4.389435975,8.99E-09,21,6.509592908
WBGene00021007,,W03F11.4,W03F11.4,4.219455571,5.46861177,70.47226441,449.8286165,3.15E-09,4.380101597,6.18E-11,21,8.501109424
WBGene00006052,ssq-3,ZC477.1,ZC477.1,1.728726691,3.788015594,51.11573793,297.0091708,4.55E-08,4.378309518,1.07E-09,21,7.342400228
WBGene00009852,arrd-24,F48F7.7,F48F7.7,0.093123249,3.589972852,109.9312652,138.524001,1.69E-08,4.377642512,3.60E-10,21,7.772050498
WBGene00009143,,F26A3.5,F26A3.5,0.097745675,2.635290055,32.23100767,277.6661242,2.97E-07,4.370199745,8.61E-09,21,6.526567757
WBGene00011911,,T22B3.3,T22B3.3,4.216440199,1.682972401,54.36783494,332.692971,2.48E-08,4.369326379,5.41E-10,21,7.605278982
WBGene00006053,ssq-4,T28H11.1,T28H11.1,15.93541449,12.85519046,152.2247868,973.4825163,2.81E-11,4.36526285,3.78E-13,21,10.55086013
WBGene00011184,,R09H10.7,R09H10.7,4.213635481,2.634567593,157.9512994,155.7152682,2.29E-10,4.364561203,3.64E-12,21,9.639929277
WBGene00005012,,F26F4.2,F26F4.2,0.083497285,0,25.33787877,146.3144674,1.88E-06,4.35943828,6.44E-08,21,5.725174186
WBGene00003463,msp-76,ZK1251.6,ZK1251.6,36.61916194,22.16744422,341.9877172,1695.068378,1.51E-13,4.35543626,1.40E-15,20,12.81994139
WBGene00002186,kel-10,T16H12.6,T16H12.6,5.248505467,14.01553169,121.456594,716.9654538,2.95E-10,4.348939113,4.78E-12,20,9.529745283
WBGene00019151,pck-3,H04M03.1,H04M03.1,2.156305296,0.749972461,41.28071165,225.7623878,1.65E-07,4.346786487,4.51E-09,20,6.781957135
WBGene00020991,,W03D8.10,Pseudogene:W03D8.10,0.092276772,1.055359911,17.18713365,224.8211656,1.46E-06,4.333745658,4.85E-08,20,5.835957916
WBGene00019785,,M70.3,M70.3b,0.099603,4.78482106,57.59296999,281.0238927,9.34E-08,4.328025329,2.36E-09,20,7.02979184
WBGene00016399,,C34D4.3,C34D4.3,1.127716136,1.693116881,34.24025494,237.9640763,2.94E-07,4.317190893,8.48E-09,20,6.531991335
WBGene00003465,msp-78,T13F2.11,T13F2.11,14.28384417,38.89082225,331.658483,1464.907252,8.58E-13,4.316149557,9.04E-15,20,12.06646929
WBGene00020715,nspd-4,T23B7.1,T23B7.1,0.090520697,2.021686657,37.31277358,186.3004587,5.76E-07,4.30412543,1.79E-08,20,6.239793917
WBGene00018530,,F47B3.6,F47B3.6,0.083088906,0,22.15976298,146.8861284,3.22E-06,4.291096318,1.17E-07,20,5.492143204
WBGene00009957,,F53B2.8,F53B2.8,198.927213,330.0075993,5596.589308,7273.714629,1.28E-36,4.277944322,8.70E-40,19,35.89433956
WBGene00009684,msd-3,F44D12.7,F44D12.7,8.828705126,12.60894632,136.4964181,635.1929673,7.01E-11,4.275525296,1.02E-12,19,10.15415885
WBGene00013999,,ZK550.5,ZK550.5,3.188467371,2.631368391,47.32383617,308.2441394,7.88E-08,4.261432257,1.96E-09,19,7.103517459
WBGene00003468,msp-113,ZK354.4,ZK354.4,21.63485508,27.61592179,277.0012604,1256.653378,4.02E-13,4.25029321,3.98E-15,19,12.3960647
WBGene00010547,,K03H1.12,K03H1.12,3.186013712,0.745784528,38.26629391,263.4257578,3.10E-07,4.246333063,9.03E-09,19,6.508532509
WBGene00043743,,Y59E9AL.2,Y59E9AL.2,17.33967889,26.37901295,229.6737708,1201.368194,4.55E-12,4.244090035,5.55E-14,19,11.34220145
WBGene00014132,,ZK896.1,ZK896.1,10.37571481,8.316144853,257.5942904,309.4992319,2.50E-14,4.237585851,2.01E-16,19,13.60259807
WBGene00003444,msp-51,ZK354.5,ZK354.5,35.57316845,43.65943878,438.8105618,1907.641287,1.69E-14,4.235069136,1.32E-16,19,13.77260007
WBGene00000030,abu-7,C03A7.8,C03A7.8,0.088634177,2.763256147,73.7399941,132.3543382,2.41E-07,4.232112861,6.79E-09,19,6.617948184
WBGene00018563,,F47D12.7,F47D12.7,4.217834775,4.52266021,60.74919029,375.2401928,2.49E-08,4.231509995,5.44E-10,19,7.604539591
WBGene00011844,,T19C9.8,T19C9.8,6.273198497,13.06798614,231.4446273,369.5503099,2.01E-13,4.230551605,1.89E-15,19,12.69727275
WBGene00007440,,C08E8.4,C08E8.4,14.47902928,42.55434744,976.1176504,582.6496278,7.24E-17,4.228701609,3.72E-19,19,16.14030515
WBGene00014838,cyp-13A9,T10B9.6,Pseudogene:T10B9.6,2.152362823,1.701205621,98.86921312,117.2390709,4.75E-08,4.224321018,1.13E-09,19,7.32336867
WBGene00021969,,Y57G7A.6,Y57G7A.6,4.215724725,3.578224629,73.47875447,289.9615098,1.45E-08,4.212705242,3.05E-10,19,7.839522014
WBGene00018497,,F46F5.6,F46F5.6,0.079255971,0.775877336,57.45142216,88.81448255,1.67E-06,4.210829172,5.66E-08,19,5.776630893
WBGene00018926,,F56A11.6,F56A11.6,3.189109703,3.577691653,49.3370055,323.5222993,8.50E-08,4.210584846,2.12E-09,19,7.070707907
WBGene00017673,icmt-1,F21F3.3,F21F3.3,1.125782802,2.64281921,56.36365958,188.1334722,1.82E-07,4.210573534,5.00E-09,19,6.739802149
WBGene00013723,,Y106G6H.13,Y106G6H.13,9.351308039,9.264328551,117.7678299,565.9689892,3.43E-10,4.203703576,5.58E-12,18,9.465323617
WBGene00016541,,C39H7.1,C39H7.1.2,11.40249952,7.364115822,112.144679,596.8947167,7.51E-10,4.199265133,1.29E-11,18,9.124468367
WBGene00011173,acs-18,R09E10.3,R09E10.3,2.159305397,2.634285932,37.26161664,281.7520227,3.08E-07,4.199121254,8.94E-09,18,6.511275494
WBGene00008850,,F15B9.6,F15B9.6,5.24209395,4.526717407,131.8161789,227.9450945,2.99E-10,4.198587508,4.86E-12,18,9.524210861
WBGene00019376,lipl-4,K04A8.5,K04A8.5,4.211937117,2.63766816,148.7989286,133.3227957,2.97E-09,4.193313022,5.79E-11,18,8.527758544
WBGene00001603,gln-2,K03H1.1,K03H1.1,9.350323186,3.152574959,62.59678524,519.4633831,4.89E-08,4.184812516,1.17E-09,18,7.310331842
WBGene00003452,msp-59,ZK354.11,ZK354.11,54.14332983,30.01646888,492.1564311,1907.759961,3.71E-14,4.184440627,3.10E-16,18,13.43112096
WBGene00010254,,F58E6.5,F58E6.5,2.163881859,7.370089369,67.45032178,383.6312826,3.94E-08,4.184203289,9.05E-10,18,7.404938921
WBGene00003470,msp-152,ZK546.6,ZK546.6,14.82787179,13.245197,183.4391841,694.611952,7.19E-12,4.184148173,9.00E-14,18,11.14317321
WBGene00011491,,T05F1.5,T05F1.5,3.188200598,2.631867829,40.28146096,308.2322594,2.25E-07,4.181715827,6.31E-09,18,6.647343197
WBGene00009708,,F44G3.7,F44G3.7,0.08933175,1.70212587,31.21680325,181.9708542,1.86E-06,4.181573937,6.34E-08,18,5.730464991
WBGene00015994,,C18H7.4,C18H7.4.1,0.081284649,0,20.14702521,138.1811501,7.12E-06,4.18083905,2.81E-07,18,5.147555468
WBGene00017279,,F09C12.8,F09C12.8,2.159161016,2.634552881,36.25544683,279.7138497,3.81E-07,4.179209039,1.13E-08,18,6.418904694
WBGene00007794,,C28D4.7,C28D4.7,4.489229467,0,50.31526431,237.0000358,5.62E-07,4.170707763,1.74E-08,18,6.249923319
WBGene00014240,htas-1,ZK1251.1,ZK1251.1,1.128161132,3.586079573,53.35158013,223.7529636,2.32E-07,4.161751182,6.51E-09,18,6.634722393
