Wormbase_Id,gene_name,ID,sequence_1,control_OP50_1,control_OP50_2,sams_1_OP50_1,sams_1_OP50_2,padj,log2FoldChange,pvalue,foldChange,log10padj
WBGene00000599,col-10,B0222.8,B0222.8,503.1322421,2432.13021,1469.054601,2669.127957,0.633235377,0.322509537,0.516439066,1,0.19843483
WBGene00009528,,F38A6.4,F38A6.4,19.51014063,24.71439541,21.14351898,45.7698914,0.754065292,0.322280111,0.660182385,1,0.122591049
WBGene00014967,,Y113G7A.2,Pseudogene:Y113G7A.2,9.433370627,3.28930088,13.5857077,8.84388147,0.78941347,0.322101035,0.70489794,1,0.102695468
WBGene00011971,lron-9,T23G11.6,T23G11.6c,61.60661632,79.47505731,79.31968769,124.9011707,0.660671825,0.322060723,0.548111739,1,0.180014213
WBGene00012035,,T26C5.5,T26C5.5.2,20.55067555,34.26586714,34.21811783,46.81790896,0.739973099,0.321536555,0.642196672,1,0.130784068
WBGene00020401,,T10B11.5,T10B11.5,43.10905664,76.16231376,62.40485183,109.9483822,0.688473745,0.321273673,0.580039757,1,0.162112617
WBGene00022302,,Y76B12C.8,Y76B12C.8,25.67357624,39.9704712,42.26776963,53.95241727,0.726856882,0.321233718,0.625678044,1,0.138551093
WBGene00004121,ptrn-1,F35B3.5,F35B3.5e,1497.036303,1170.67094,1941.418801,1841.895922,0.424102293,0.320994592,0.300406886,1,0.37252938
WBGene00021950,cutl-26,Y55F3C.7,Y55F3C.7a,170.1539155,220.8013321,279.7707258,273.0020004,0.539220289,0.320919672,0.415969937,1,0.268233776
WBGene00018697,,F52E1.9,F52E1.9,205.991159,195.9974232,259.6498694,312.710364,0.5351185,0.320878725,0.411678088,1,0.271550034
WBGene00000584,cog-1,R03C1.3,R03C1.3a,88.16309533,94.17125266,114.7291811,146.6499226,0.625658016,0.320386513,0.508529556,1,0.203662987
WBGene00000881,cyn-5,F31C3.1,F31C3.1,5663.117983,5430.982707,7111.185,8571.706255,0.369618949,0.320305851,0.249435607,1,0.432245772
WBGene00014075,dhhc-4,ZK757.4,ZK757.4c,318.8492267,346.918048,348.4170153,599.7764897,0.526564194,0.320121563,0.402371641,1,0.278548676
WBGene00077701,poml-3,E01A2.10,E01A2.10,127.6145702,177.5704154,190.2600854,241.5461525,0.576966312,0.32010265,0.454886176,1,0.238849544
WBGene00197215,,F57A8.9,F57A8.9,65.93855919,94.2936462,95.51984597,134.6504748,0.649369372,0.319976666,0.535070703,1,0.187508199
WBGene00010692,,K08H2.5,K08H2.5,5.126651555,1.846604741,2.020064919,12.16934691,1,0.319795143,0.700736999,1,NA
WBGene00006682,twk-30,F36A2.4,F36A2.4,22.58682585,29.47886472,40.24674628,36.66092415,0.741959116,0.319732173,0.644610033,1,0.129620025
WBGene00001042,dnj-24,W03A5.7,W03A5.7,325.8580775,254.0260288,404.5671796,420.7141509,0.512224182,0.319673037,0.388029548,1,0.290539923
WBGene00001736,grl-27,F40C5.3,F40C5.3,10.90753295,4.324733128,7.80469864,17.27191108,0.790493369,0.319665125,0.70632432,1,0.102101769
WBGene00006836,unc-112,C47E8.7,C47E8.7.1,1922.278326,1695.171336,2443.551527,2673.189351,0.393670056,0.319617916,0.271579882,1,0.404867618
